Branch#,Branch Name,Group,Code,Description,Long Description 1,Last Supplier,Outer Qty,Outer Desc,Jul2018 Qty Start,Free Stock,Ytd Qty Sold,Min Qty,Max Qty,Unit
"0","All","02","ABSDNF15080","SANDING DISC NO FIL SNS 150MM 80G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPM100","SANDPAPER ROLL PER MTR 100G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPM120","SANDPAPER ROLL PER MTR 120G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPM150","SANDPAPER ROLL PER MTR 150G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPM180","SANDPAPER ROLL PER MTR 180G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPM40","SANDPAPER ROLL PER MTR 40G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPM60","SANDPAPER ROLL PER MTR 60G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPM80","SANDPAPER ROLL PER MTR 80G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPNF120","SANDPAPER SHEET NO FIL 120G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPNF150","SANDPAPER SHEET NO FIL 150G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPNF180","SANDPAPER SHEET NO FIL 180G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPNF220","SANDPAPER SHEET NO FIL 220G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPNF80","SANDPAPER SHEET NO FIL 80G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPR1001","SANDPAPER ROLL 115mm X 1m ROLL 100G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPR10010","SANDPAPER ROLL 115mm X 10m ROLL 100G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPR1005","SANDPAPER ROLL 115mm X 5m ROLL 100G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPR1201","SANDPAPER ROLL 115mm X 1m ROLL 120G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPR1801","SANDPAPER ROLL 115mm X 1m ROLL 180G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPR801","SANDPAPER ROLL 115mm X 1m ROLL 80G","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSPSD9380G","SANDPAPER SHEET DETAIL 93 X 93MM 6H 80G","PK5","BUNLTD","0","","0","0","0","0","0",""
"0","All","02","ABSRCGW1258522","S ROW CUP GRINDING WHEEL 125X8X5TX22.23","S ROW CUP GRINDING WHEEL 125 X 8 X 5T X 22.23","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABSS7553380","SANDING BELT 75 X 533 P80","","SAIGOB","0","","0","0","0","0","0",""
"0","All","02","ABSTCDW12522","SEGMENTED TURBO CUP WHEEL 125X8X22.2 18T","SEGMENTED TURBO CUP GRINDING WHEEL 125X8X22.2 18T","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTACB105622","TUSK VB ALL CUT BLADE 105 X 22.23 6T","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTACB115722","TUSK VB ALL CUT BLADE 115 X 22.23 7T","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTACB125722","TUSK VB ALL CUT BLADE 125 X 22.23 7T","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTACB1801022","TUSK VB ALL CUT BLADE 180 X 22.23 10T","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
"0","All","02","ABTACB2301322","TUSK VB ALL CUT BLADE 230 X 22.23 13T","DIAMOND TYPE BLADE - WITH 20mm BUSH","HUATOO","0","","0","0","0","0","0",""
